,Battles,Explosions&RemoteViolence,Riots,StrategicDevelopments,Protests,ViolenceAgainstCivilians,total,Battles_sum,Explosions&RemoteViolence_sum,Riots_sum,StrategicDevelopments_sum,Protests_sum,ViolenceAgainstCivilians_sum,total_sum
2023/10/7,584.0,34.0,0.0,0.0,0.0,642.0,1260.0,584.0,34.0,0.0,0.0,0.0,642.0,1260.0
2023/10/8,97.0,9.0,0.0,0.0,0.0,7.0,113.0,681.0,43.0,0.0,0.0,0.0,649.0,1373.0
2023/10/9,31.0,4.0,0.0,0.0,0.0,2.0,37.0,712.0,47.0,0.0,0.0,0.0,651.0,1410.0
2023/10/10,22.0,7.0,0.0,0.0,0.0,0.0,29.0,734.0,54.0,0.0,0.0,0.0,651.0,1439.0
2023/10/11,10.0,0.0,0.0,0.0,0.0,0.0,10.0,744.0,54.0,0.0,0.0,0.0,651.0,1449.0
2023/10/12,1.0,1.0,0.0,0.0,0.0,2.0,4.0,745.0,55.0,0.0,0.0,0.0,653.0,1453.0
2023/10/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,55.0,0.0,0.0,0.0,653.0,1453.0
2023/10/14,0.0,6.0,0.0,0.0,0.0,0.0,6.0,745.0,61.0,0.0,0.0,0.0,653.0,1459.0
2023/10/15,1.0,2.0,0.0,0.0,0.0,0.0,3.0,746.0,63.0,0.0,0.0,0.0,653.0,1462.0
2023/10/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,63.0,0.0,0.0,0.0,653.0,1462.0
2023/10/17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,63.0,0.0,0.0,0.0,653.0,1462.0
2023/10/18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,63.0,0.0,0.0,0.0,653.0,1462.0
2023/10/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,63.0,0.0,0.0,0.0,653.0,1462.0
2023/10/20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,747.0,64.0,0.0,0.0,0.0,653.0,1464.0
2023/10/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,64.0,0.0,0.0,0.0,653.0,1464.0
2023/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,64.0,0.0,0.0,0.0,653.0,1464.0
2023/10/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,64.0,0.0,0.0,0.0,653.0,1464.0
2023/10/24,2.0,0.0,0.0,0.0,0.0,0.0,2.0,749.0,64.0,0.0,0.0,0.0,653.0,1466.0
2023/10/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,64.0,0.0,0.0,0.0,653.0,1466.0
2023/10/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,64.0,0.0,0.0,0.0,653.0,1466.0
2023/10/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,64.0,0.0,0.0,0.0,653.0,1466.0
2023/10/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,64.0,0.0,0.0,0.0,653.0,1466.0
2023/10/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,64.0,0.0,0.0,0.0,653.0,1466.0
2023/10/30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,750.0,64.0,0.0,0.0,0.0,653.0,1467.0
2023/10/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,64.0,0.0,0.0,0.0,653.0,1467.0
2023/11/1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,750.0,65.0,0.0,0.0,0.0,653.0,1468.0
2023/11/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,65.0,0.0,0.0,0.0,653.0,1468.0
2023/11/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,65.0,0.0,0.0,0.0,653.0,1468.0
2023/11/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,65.0,0.0,0.0,0.0,653.0,1468.0
2023/11/5,2.0,1.0,0.0,0.0,0.0,0.0,3.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,66.0,0.0,0.0,0.0,653.0,1471.0
2023/11/12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,752.0,67.0,0.0,0.0,0.0,653.0,1472.0
2023/11/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,653.0,1472.0
2023/11/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,653.0,1472.0
2023/11/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,653.0,1472.0
2023/11/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,653.0,1472.0
2023/11/17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,653.0,1472.0
2023/11/18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,654.0,1473.0
2023/11/30,0.0,0.0,0.0,0.0,0.0,6.0,6.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,67.0,0.0,0.0,0.0,660.0,1479.0
2023/12/7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
2023/12/8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
2023/12/9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
2023/12/10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
2023/12/11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
2023/12/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
2023/12/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,68.0,0.0,0.0,0.0,660.0,1480.0
