,Armed clash,total,Armed clash_cumsum,total_cumsum
2023-10-07,6.0,6.0,6.0,6.0
2023-10-08,4.0,4.0,10.0,10.0
2023-10-09,2.0,2.0,12.0,12.0
2023-10-10,2.0,2.0,14.0,14.0
2023-10-11,0.0,0.0,14.0,14.0
2023-10-12,2.0,2.0,16.0,16.0
2023-10-13,1.0,1.0,17.0,17.0
2023-10-14,12.0,12.0,29.0,29.0
2023-10-15,0.0,0.0,29.0,29.0
2023-10-16,1.0,1.0,30.0,30.0
2023-10-17,0.0,0.0,30.0,30.0
2023-10-18,0.0,0.0,30.0,30.0
2023-10-19,17.0,17.0,47.0,47.0
2023-10-20,0.0,0.0,47.0,47.0
2023-10-21,0.0,0.0,47.0,47.0
2023-10-22,6.0,6.0,53.0,53.0
2023-10-23,0.0,0.0,53.0,53.0
2023-10-24,1.0,1.0,54.0,54.0
2023-10-25,6.0,6.0,60.0,60.0
2023-10-26,0.0,0.0,60.0,60.0
2023-10-27,1.0,1.0,61.0,61.0
2023-10-28,1.0,1.0,62.0,62.0
2023-10-29,22.0,22.0,84.0,84.0
2023-10-30,13.0,13.0,97.0,97.0
2023-10-31,56.0,56.0,153.0,153.0
2023-11-01,31.0,31.0,184.0,184.0
2023-11-02,138.0,138.0,322.0,322.0
2023-11-03,15.0,15.0,337.0,337.0
2023-11-04,15.0,15.0,352.0,352.0
2023-11-05,5.0,5.0,357.0,357.0
2023-11-06,16.0,16.0,373.0,373.0
2023-11-07,27.0,27.0,400.0,400.0
2023-11-08,29.0,29.0,429.0,429.0
2023-11-09,60.0,60.0,489.0,489.0
2023-11-10,163.0,163.0,652.0,652.0
2023-11-11,3.0,3.0,655.0,655.0
2023-11-12,0.0,0.0,655.0,655.0
2023-11-13,30.0,30.0,685.0,685.0
2023-11-14,3.0,3.0,688.0,688.0
2023-11-15,0.0,0.0,688.0,688.0
2023-11-16,8.0,8.0,696.0,696.0
2023-11-17,25.0,25.0,721.0,721.0
2023-11-18,16.0,16.0,737.0,737.0
2023-11-19,38.0,38.0,775.0,775.0
2023-11-20,13.0,13.0,788.0,788.0
2023-11-21,4.0,4.0,792.0,792.0
2023-11-22,0.0,0.0,792.0,792.0
2023-11-23,0.0,0.0,792.0,792.0
2023-11-24,0.0,0.0,792.0,792.0
2023-11-25,11.0,11.0,803.0,803.0
2023-11-26,0.0,0.0,803.0,803.0
2023-11-27,0.0,0.0,803.0,803.0
2023-11-28,0.0,0.0,803.0,803.0
2023-11-29,7.0,7.0,810.0,810.0
2023-11-30,5.0,5.0,815.0,815.0
2023-12-01,0.0,0.0,815.0,815.0
2023-12-02,2.0,2.0,817.0,817.0
2023-12-03,1.0,1.0,818.0,818.0
2023-12-04,56.0,56.0,874.0,874.0
2023-12-05,72.0,72.0,946.0,946.0
2023-12-06,51.0,51.0,997.0,997.0
2023-12-07,49.0,49.0,1046.0,1046.0
2023-12-08,83.0,83.0,1129.0,1129.0
2023-12-09,55.0,55.0,1184.0,1184.0
2023-12-10,47.0,47.0,1231.0,1231.0
2023-12-11,56.0,56.0,1287.0,1287.0
2023-12-12,61.0,61.0,1348.0,1348.0
2023-12-13,47.0,47.0,1395.0,1395.0
2023-12-14,50.0,50.0,1445.0,1445.0
2023-12-15,40.0,40.0,1485.0,1485.0
2023-12-16,50.0,50.0,1535.0,1535.0
2023-12-17,41.0,41.0,1576.0,1576.0
2023-12-18,49.0,49.0,1625.0,1625.0
2023-12-19,12.0,12.0,1637.0,1637.0
2023-12-20,5.0,5.0,1642.0,1642.0
2023-12-21,2.0,2.0,1644.0,1644.0
2023-12-22,12.0,12.0,1656.0,1656.0
2023-12-23,20.0,20.0,1676.0,1676.0
2023-12-24,15.0,15.0,1691.0,1691.0
2023-12-25,0.0,0.0,1691.0,1691.0
2023-12-26,3.0,3.0,1694.0,1694.0
2023-12-27,2.0,2.0,1696.0,1696.0
2023-12-28,17.0,17.0,1713.0,1713.0
2023-12-29,14.0,14.0,1727.0,1727.0
2023-12-30,28.0,28.0,1755.0,1755.0
2023-12-31,7.0,7.0,1762.0,1762.0
2024-01-01,10.0,10.0,1772.0,1772.0
2024-01-02,47.0,47.0,1819.0,1819.0
2024-01-03,10.0,10.0,1829.0,1829.0
2024-01-04,1.0,1.0,1830.0,1830.0
2024-01-05,23.0,23.0,1853.0,1853.0
2024-01-06,11.0,11.0,1864.0,1864.0
2024-01-07,20.0,20.0,1884.0,1884.0
2024-01-08,12.0,12.0,1896.0,1896.0
2024-01-09,43.0,43.0,1939.0,1939.0
2024-01-10,3.0,3.0,1942.0,1942.0
2024-01-11,19.0,19.0,1961.0,1961.0
2024-01-12,25.0,25.0,1986.0,1986.0
2024-01-13,11.0,11.0,1997.0,1997.0
2024-01-14,18.0,18.0,2015.0,2015.0
2024-01-15,1.0,1.0,2016.0,2016.0
2024-01-16,34.0,34.0,2050.0,2050.0
2024-01-17,50.0,50.0,2100.0,2100.0
2024-01-18,6.0,6.0,2106.0,2106.0
2024-01-19,0.0,0.0,2106.0,2106.0
2024-01-20,10.0,10.0,2116.0,2116.0
2024-01-21,28.0,28.0,2144.0,2144.0
2024-01-22,20.0,20.0,2164.0,2164.0
2024-01-23,101.0,101.0,2265.0,2265.0
2024-01-24,11.0,11.0,2276.0,2276.0
2024-01-25,21.0,21.0,2297.0,2297.0
2024-01-26,23.0,23.0,2320.0,2320.0
2024-01-27,11.0,11.0,2331.0,2331.0
2024-01-28,22.0,22.0,2353.0,2353.0
2024-01-29,30.0,30.0,2383.0,2383.0
2024-01-30,32.0,32.0,2415.0,2415.0
2024-01-31,31.0,31.0,2446.0,2446.0
2024-02-01,30.0,30.0,2476.0,2476.0
2024-02-02,120.0,120.0,2596.0,2596.0
2024-02-03,1.0,1.0,2597.0,2597.0
2024-02-04,35.0,35.0,2632.0,2632.0
2024-02-05,26.0,26.0,2658.0,2658.0
2024-02-06,41.0,41.0,2699.0,2699.0
2024-02-07,47.0,47.0,2746.0,2746.0
2024-02-08,15.0,15.0,2761.0,2761.0
2024-02-09,17.0,17.0,2778.0,2778.0
2024-02-10,3.0,3.0,2781.0,2781.0
2024-02-11,2.0,2.0,2783.0,2783.0
2024-02-12,33.0,33.0,2816.0,2816.0
2024-02-13,21.0,21.0,2837.0,2837.0
2024-02-14,11.0,11.0,2848.0,2848.0
2024-02-15,22.0,22.0,2870.0,2870.0
2024-02-16,0.0,0.0,2870.0,2870.0
2024-02-17,20.0,20.0,2890.0,2890.0
2024-02-18,2.0,2.0,2892.0,2892.0
2024-02-19,1.0,1.0,2893.0,2893.0
2024-02-20,28.0,28.0,2921.0,2921.0
2024-02-21,36.0,36.0,2957.0,2957.0
2024-02-22,38.0,38.0,2995.0,2995.0
2024-02-23,18.0,18.0,3013.0,3013.0
2024-02-24,23.0,23.0,3036.0,3036.0
2024-02-25,64.0,64.0,3100.0,3100.0
2024-02-26,3.0,3.0,3103.0,3103.0
2024-02-27,12.0,12.0,3115.0,3115.0
2024-02-28,31.0,31.0,3146.0,3146.0
2024-02-29,0.0,0.0,3146.0,3146.0
2024-03-01,38.0,38.0,3184.0,3184.0
2024-03-02,12.0,12.0,3196.0,3196.0
2024-03-03,15.0,15.0,3211.0,3211.0
2024-03-04,1.0,1.0,3212.0,3212.0
2024-03-05,1.0,1.0,3213.0,3213.0
2024-03-06,5.0,5.0,3218.0,3218.0
2024-03-07,18.0,18.0,3236.0,3236.0
2024-03-08,8.0,8.0,3244.0,3244.0
2024-03-09,20.0,20.0,3264.0,3264.0
2024-03-10,1.0,1.0,3265.0,3265.0
2024-03-11,4.0,4.0,3269.0,3269.0
2024-03-12,107.0,107.0,3376.0,3376.0
2024-03-13,1.0,1.0,3377.0,3377.0
2024-03-14,7.0,7.0,3384.0,3384.0
2024-03-15,0.0,0.0,3384.0,3384.0
2024-03-16,4.0,4.0,3388.0,3388.0
2024-03-17,0.0,0.0,3388.0,3388.0
2024-03-18,41.0,41.0,3429.0,3429.0
2024-03-19,15.0,15.0,3444.0,3444.0
2024-03-20,47.0,47.0,3491.0,3491.0
2024-03-21,80.0,80.0,3571.0,3571.0
2024-03-22,27.0,27.0,3598.0,3598.0
