,Air/drone strike,Shelling/artillery/missile attack,Grenade,Remote explosive/landmine/IED,total,Air/drone strike_cumsum,Shelling/artillery/missile attack_cumsum,Grenade_cumsum,Remote explosive/landmine/IED_cumsum,total_cumsum
2023-10-07,104.0,0.0,0.0,0.0,104.0,104.0,0.0,0.0,0.0,104.0
2023-10-08,408.0,0.0,0.0,0.0,408.0,512.0,0.0,0.0,0.0,512.0
2023-10-09,204.0,0.0,0.0,0.0,204.0,716.0,0.0,0.0,0.0,716.0
2023-10-10,333.0,1.0,0.0,0.0,334.0,1049.0,1.0,0.0,0.0,1050.0
2023-10-11,329.0,33.0,0.0,0.0,362.0,1378.0,34.0,0.0,0.0,1412.0
2023-10-12,382.0,0.0,0.0,0.0,382.0,1760.0,34.0,0.0,0.0,1794.0
2023-10-13,295.0,0.0,0.0,0.0,295.0,2055.0,34.0,0.0,0.0,2089.0
2023-10-14,197.0,28.0,0.0,0.0,225.0,2252.0,62.0,0.0,0.0,2314.0
2023-10-15,474.0,0.0,0.0,0.0,474.0,2726.0,62.0,0.0,0.0,2788.0
2023-10-16,257.0,1.0,0.0,0.0,258.0,2983.0,63.0,0.0,0.0,3046.0
2023-10-17,671.0,0.0,0.0,0.0,671.0,3654.0,63.0,0.0,0.0,3717.0
2023-10-18,169.0,14.0,0.0,0.0,183.0,3823.0,77.0,0.0,0.0,3900.0
2023-10-19,222.0,0.0,0.0,0.0,222.0,4045.0,77.0,0.0,0.0,4122.0
2023-10-20,165.0,1.0,0.0,0.0,166.0,4210.0,78.0,0.0,0.0,4288.0
2023-10-21,429.0,0.0,0.0,0.0,429.0,4639.0,78.0,0.0,0.0,4717.0
2023-10-22,357.0,0.0,0.0,0.0,357.0,4996.0,78.0,0.0,0.0,5074.0
2023-10-23,410.0,0.0,0.0,0.0,410.0,5406.0,78.0,0.0,0.0,5484.0
2023-10-24,249.0,45.0,0.0,0.0,294.0,5655.0,123.0,0.0,0.0,5778.0
2023-10-25,700.0,0.0,0.0,0.0,700.0,6355.0,123.0,0.0,0.0,6478.0
2023-10-26,256.0,0.0,0.0,0.0,256.0,6611.0,123.0,0.0,0.0,6734.0
2023-10-27,579.0,0.0,0.0,0.0,579.0,7190.0,123.0,0.0,0.0,7313.0
2023-10-28,376.0,1.0,0.0,0.0,377.0,7566.0,124.0,0.0,0.0,7690.0
2023-10-29,464.0,80.0,0.0,0.0,544.0,8030.0,204.0,0.0,0.0,8234.0
2023-10-30,246.0,0.0,0.0,0.0,246.0,8276.0,204.0,0.0,0.0,8480.0
2023-10-31,250.0,71.0,0.0,0.0,321.0,8526.0,275.0,0.0,0.0,8801.0
2023-11-01,59.0,8.0,0.0,0.0,67.0,8585.0,283.0,0.0,0.0,8868.0
2023-11-02,121.0,8.0,0.0,0.0,129.0,8706.0,291.0,0.0,0.0,8997.0
2023-11-03,215.0,1.0,0.0,0.0,216.0,8921.0,292.0,0.0,0.0,9213.0
2023-11-04,310.0,4.0,0.0,0.0,314.0,9231.0,296.0,0.0,0.0,9527.0
2023-11-05,113.0,0.0,0.0,0.0,113.0,9344.0,296.0,0.0,0.0,9640.0
2023-11-06,106.0,0.0,0.0,0.0,106.0,9450.0,296.0,0.0,0.0,9746.0
2023-11-07,190.0,0.0,0.0,0.0,190.0,9640.0,296.0,0.0,0.0,9936.0
2023-11-08,179.0,0.0,0.0,0.0,179.0,9819.0,296.0,0.0,0.0,10115.0
2023-11-09,273.0,5.0,0.0,0.0,278.0,10092.0,301.0,0.0,0.0,10393.0
2023-11-10,119.0,0.0,0.0,0.0,119.0,10211.0,301.0,0.0,0.0,10512.0
2023-11-11,74.0,0.0,0.0,0.0,74.0,10285.0,301.0,0.0,0.0,10586.0
2023-11-12,74.0,0.0,0.0,0.0,74.0,10359.0,301.0,0.0,0.0,10660.0
2023-11-13,176.0,0.0,0.0,0.0,176.0,10535.0,301.0,0.0,0.0,10836.0
2023-11-14,79.0,3.0,0.0,0.0,82.0,10614.0,304.0,0.0,0.0,10918.0
2023-11-15,184.0,3.0,0.0,0.0,187.0,10798.0,307.0,0.0,0.0,11105.0
2023-11-16,132.0,64.0,0.0,0.0,196.0,10930.0,371.0,0.0,0.0,11301.0
2023-11-17,366.0,0.0,0.0,0.0,366.0,11296.0,371.0,0.0,0.0,11667.0
2023-11-18,692.0,12.0,0.0,6.0,710.0,11988.0,383.0,0.0,6.0,12377.0
2023-11-19,462.0,129.0,0.0,0.0,591.0,12450.0,512.0,0.0,6.0,12968.0
2023-11-20,228.0,259.0,0.0,0.0,487.0,12678.0,771.0,0.0,6.0,13455.0
2023-11-21,308.0,0.0,0.0,0.0,308.0,12986.0,771.0,0.0,6.0,13763.0
2023-11-22,418.0,2.0,0.0,0.0,420.0,13404.0,773.0,0.0,6.0,14183.0
2023-11-23,202.0,0.0,0.0,0.0,202.0,13606.0,773.0,0.0,6.0,14385.0
2023-11-24,13.0,3.0,0.0,0.0,16.0,13619.0,776.0,0.0,6.0,14401.0
2023-11-25,5.0,0.0,0.0,0.0,5.0,13624.0,776.0,0.0,6.0,14406.0
2023-11-26,5.0,0.0,0.0,0.0,5.0,13629.0,776.0,0.0,6.0,14411.0
2023-11-27,0.0,0.0,0.0,0.0,0.0,13629.0,776.0,0.0,6.0,14411.0
2023-11-28,0.0,0.0,0.0,0.0,0.0,13629.0,776.0,0.0,6.0,14411.0
2023-11-29,0.0,0.0,0.0,0.0,0.0,13629.0,776.0,0.0,6.0,14411.0
2023-11-30,0.0,0.0,0.0,0.0,0.0,13629.0,776.0,0.0,6.0,14411.0
2023-12-01,173.0,2.0,0.0,0.0,175.0,13802.0,778.0,0.0,6.0,14586.0
2023-12-02,265.0,0.0,0.0,0.0,265.0,14067.0,778.0,0.0,6.0,14851.0
