Date,Battles,Explosions&RemoteViolence,Protests,Riots,StrategicDevelopments,ViolenceAgainstCivilians,total,Battles_sum,Explosions&RemoteViolence_sum,Protests_sum,Riots_sum,StrategicDevelopments_sum,ViolenceAgainstCivilians_sum,total_sum
2023/10/7,6,104,0,4,0,3,117,6,104,0,4,0,3,117
2023/10/8,4,408,0,6,0,1,419,10,512,0,10,0,4,536
2023/10/9,2,204,0,1,0,2,209,12,716,0,11,0,6,745
2023/10/10,2,334,0,5,0,1,342,14,1050,0,16,0,7,1087
2023/10/11,0,362,0,2,0,3,367,14,1412,0,18,0,10,1454
2023/10/12,2,382,0,2,0,4,390,16,1794,0,20,0,14,1844
2023/10/13,1,295,0,12,0,1,309,17,2089,0,32,0,15,2153
2023/10/14,12,225,0,0,0,0,237,29,2314,0,32,0,15,2390
2023/10/15,0,474,0,1,0,0,475,29,2788,0,33,0,15,2865
2023/10/16,1,258,0,0,0,2,261,30,3046,0,33,0,17,3126
2023/10/17,0,671,0,2,0,0,673,30,3717,0,35,0,17,3799
2023/10/18,0,183,0,4,1,0,188,30,3900,0,39,1,17,3987
2023/10/19,17,222,0,3,0,0,242,47,4122,0,42,1,17,4229
2023/10/20,0,166,0,3,0,0,169,47,4288,0,45,1,17,4398
2023/10/21,0,429,0,1,0,0,430,47,4717,0,46,1,17,4828
2023/10/22,6,357,0,3,0,0,366,53,5074,0,49,1,17,5194
2023/10/23,0,410,0,2,0,0,412,53,5484,0,51,1,17,5606
2023/10/24,1,294,0,0,1,0,296,54,5778,0,51,2,17,5902
2023/10/25,6,700,0,0,0,0,706,60,6478,0,51,2,17,6608
2023/10/26,0,256,0,1,0,0,257,60,6734,0,52,2,17,6865
2023/10/27,1,579,0,4,0,0,584,61,7313,0,56,2,17,7449
2023/10/28,1,377,0,0,0,1,379,62,7690,0,56,2,18,7828
2023/10/29,22,544,0,3,0,0,569,84,8234,0,59,2,18,8397
2023/10/30,13,246,0,2,0,0,261,97,8480,0,61,2,18,8658
2023/10/31,56,321,0,1,0,0,378,153,8801,0,62,2,18,9036
2023/11/1,31,67,0,0,0,0,98,184,8868,0,62,2,18,9134
2023/11/2,138,129,0,2,0,4,273,322,8997,0,64,2,22,9407
2023/11/3,15,216,0,6,0,1,238,337,9213,0,70,2,23,9645
2023/11/4,15,314,0,0,0,0,329,352,9527,0,70,2,23,9974
2023/11/5,5,113,0,1,0,0,119,357,9640,0,71,2,23,10093
2023/11/6,16,106,0,3,0,0,125,373,9746,0,74,2,23,10218
2023/11/7,27,190,0,1,0,0,218,400,9936,0,75,2,23,10436
2023/11/8,29,179,0,1,0,0,209,429,10115,0,76,2,23,10645
2023/11/9,60,278,0,3,0,0,341,489,10393,0,79,2,23,10986
2023/11/10,163,119,0,0,0,1,283,652,10512,0,79,2,24,11269
2023/11/11,3,74,0,1,0,0,78,655,10586,0,80,2,24,11347
2023/11/12,0,74,0,1,0,0,75,655,10660,0,81,2,24,11422
2023/11/13,30,176,0,0,0,1,207,685,10836,0,81,2,25,11629
2023/11/14,3,82,0,2,0,0,87,688,10918,0,83,2,25,11716
2023/11/15,0,187,0,0,0,0,187,688,11105,0,83,2,25,11903
2023/11/16,8,196,0,3,0,1,208,696,11301,0,86,2,26,12111
2023/11/17,25,366,0,0,0,0,391,721,11667,0,86,2,26,12502
2023/11/18,16,710,0,0,0,0,726,737,12377,0,86,2,26,13228
2023/11/19,38,591,0,1,0,0,630,775,12968,0,87,2,26,13858
2023/11/20,13,487,0,0,0,1,501,788,13455,0,87,2,27,14359
2023/11/21,4,308,0,0,0,0,312,792,13763,0,87,2,27,14671
2023/11/22,0,420,0,2,0,2,424,792,14183,0,89,2,29,15095
2023/11/23,0,202,0,1,0,1,204,792,14385,0,90,2,30,15299
