Date,Others,Others_cumsum
2023-10-07,4,4
2023-10-08,6,10
2023-10-09,1,11
2023-10-10,5,16
2023-10-11,2,18
2023-10-12,2,20
2023-10-13,12,32
2023-10-14,0,32
2023-10-15,1,33
2023-10-16,0,33
2023-10-17,2,35
2023-10-18,5,40
2023-10-19,3,43
2023-10-20,3,46
2023-10-21,1,47
2023-10-22,3,50
2023-10-23,2,52
2023-10-24,1,53
2023-10-25,0,53
2023-10-26,1,54
2023-10-27,4,58
2023-10-28,0,58
2023-10-29,3,61
2023-10-30,2,63
2023-10-31,1,64
2023-11-01,0,64
2023-11-02,2,66
2023-11-03,6,72
2023-11-04,0,72
2023-11-05,1,73
2023-11-06,3,76
2023-11-07,1,77
2023-11-08,1,78
2023-11-09,3,81
2023-11-10,0,81
2023-11-11,1,82
2023-11-12,1,83
2023-11-13,0,83
2023-11-14,2,85
2023-11-15,0,85
2023-11-16,3,88
2023-11-17,0,88
2023-11-18,0,88
2023-11-19,1,89
2023-11-20,0,89
2023-11-21,0,89
2023-11-22,2,91
2023-11-23,1,92
2023-11-24,1,93
2023-11-25,1,94
2023-11-26,1,95
2023-11-27,1,96
2023-11-28,3,99
2023-11-29,1,100
2023-11-30,1,101
2023-12-01,0,101
2023-12-02,2,103
2023-12-03,0,103
2023-12-04,0,103
2023-12-05,0,103
2023-12-06,0,103
2023-12-07,0,103
2023-12-08,0,103
2023-12-09,2,105
2023-12-10,0,105
2023-12-11,0,105
2023-12-12,0,105
2023-12-13,0,105
2023-12-14,0,105
2023-12-15,0,105
2023-12-16,2,107
2023-12-17,0,107
2023-12-18,0,107
2023-12-19,0,107
2023-12-20,1,108
2023-12-21,0,108
2023-12-22,0,108
2023-12-23,0,108
2023-12-24,0,108
2023-12-25,0,108
2023-12-26,2,110
2023-12-27,0,110
2023-12-28,0,110
2023-12-29,1,111
2023-12-30,0,111
2023-12-31,0,111
2024-01-01,0,111
2024-01-02,0,111
2024-01-03,0,111
2024-01-04,0,111
2024-01-05,1,112
