Date,total_ISR,total_ISR_sum,total_PSE,total_PSE_sum,total_root,total_root_sum
2023/10/7,1260,1260,117,117,1377,1377
2023/10/8,113,1373,419,536,532,1909
2023/10/9,37,1410,209,745,246,2155
2023/10/10,29,1439,342,1087,371,2526
2023/10/11,10,1449,367,1454,377,2903
2023/10/12,4,1453,390,1844,394,3297
2023/10/13,0,1453,309,2153,309,3606
2023/10/14,6,1459,237,2390,243,3849
2023/10/15,3,1462,475,2865,478,4327
2023/10/16,0,1462,261,3126,261,4588
2023/10/17,0,1462,673,3799,673,5261
2023/10/18,0,1462,188,3987,188,5449
2023/10/19,0,1462,242,4229,242,5691
2023/10/20,2,1464,169,4398,171,5862
2023/10/21,0,1464,430,4828,430,6292
2023/10/22,0,1464,366,5194,366,6658
2023/10/23,0,1464,412,5606,412,7070
2023/10/24,2,1466,296,5902,298,7368
2023/10/25,0,1466,706,6608,706,8074
2023/10/26,0,1466,257,6865,257,8331
2023/10/27,0,1466,584,7449,584,8915
2023/10/28,0,1466,379,7828,379,9294
2023/10/29,0,1466,569,8397,569,9863
2023/10/30,1,1467,261,8658,262,10125
2023/10/31,0,1467,378,9036,378,10503
2023/11/1,1,1468,98,9134,99,10602
2023/11/2,0,1468,273,9407,273,10875
2023/11/3,0,1468,238,9645,238,11113
2023/11/4,0,1468,329,9974,329,11442
2023/11/5,3,1471,119,10093,122,11564
2023/11/6,0,1471,125,10218,125,11689
2023/11/7,0,1471,218,10436,218,11907
2023/11/8,0,1471,209,10645,209,12116
2023/11/9,0,1471,341,10986,341,12457
2023/11/10,0,1471,283,11269,283,12740
2023/11/11,0,1471,78,11347,78,12818
2023/11/12,1,1472,75,11422,76,12894
2023/11/13,0,1472,207,11629,207,13101
2023/11/14,0,1472,87,11716,87,13188
2023/11/15,0,1472,187,11903,187,13375
2023/11/16,0,1472,208,12111,208,13583
2023/11/17,0,1472,391,12502,391,13974
2023/11/18,1,1473,726,13228,727,14701
2023/11/19,0,1473,630,13858,630,15331
2023/11/20,0,1473,501,14359,501,15832
2023/11/21,0,1473,312,14671,312,16144
2023/11/22,0,1473,424,15095,424,16568
2023/11/23,0,1473,204,15299,204,16772
2023/11/24,0,1473,20,15319,20,16792
2023/11/25,0,1473,19,15338,19,16811
2023/11/26,0,1473,7,15345,7,16818
2023/11/28,0,1473,1,15346,1,16819
2023/11/29,0,1473,3,15349,3,16822
2023/11/30,6,1479,9,15358,15,16837
2023/12/1,0,1479,7,15365,7,16844
2023/12/2,0,1479,177,15542,177,17021
2023/12/3,0,1479,269,15811,269,17290
2023/12/4,0,1479,363,16174,363,17653
2023/12/5,0,1479,228,16402,228,17881
2023/12/6,0,1479,749,17151,749,18630
2023/12/7,1,1480,321,17472,322,18952
2023/12/8,0,1480,289,17761,289,19241
2023/12/9,0,1480,240,18001,240,19481
2023/12/10,0,1480,300,18301,300,19781
2023/12/11,0,1480,235,18536,235,20016
2023/12/12,0,1480,196,18732,196,20212
2023/12/13,0,1480,237,18969,237,20449
2023/12/14,0,1480,198,19167,198,20647
2023/12/15,0,1480,206,19373,206,20853
2023/12/16,1,1481,138,19511,139,20992
2023/12/17,0,1481,137,19648,137,21129
2023/12/18,0,1481,256,19904,256,21385
2023/12/19,0,1481,243,20147,243,21628
2023/12/20,0,1481,170,20317,170,21798
2023/12/21,0,1481,61,20378,61,21859
2023/12/22,2,1483,82,20460,84,21943
2023/12/23,0,1483,131,20591,131,22074
2023/12/24,0,1483,166,20757,166,22240
2023/12/25,0,1483,250,21007,250,22490
2023/12/26,0,1483,241,21248,241,22731
2023/12/27,0,1483,197,21445,197,22928
2023/12/28,0,1483,216,21661,216,23144
2023/12/29,0,1483,190,21851,190,23334
2023/12/30,0,1483,168,22019,168,23502
2023/12/31,0,1483,151,22170,151,23653
2024/1/1,0,1483,193,22363,193,23846
2024/1/2,0,1483,172,22535,172,24018
2024/1/3,0,1483,132,22667,132,24150
2024/1/4,0,1483,125,22792,125,24275
2024/1/5,0,1483,130,22922,130,24405
2024/1/6,0,1483,156,23078,156,24561
2024/1/7,0,1483,177,23255,177,24738
2024/1/8,0,1483,199,23454,199,24937
2024/1/9,0,1483,129,23583,129,25066
2024/1/10,0,1483,149,23732,149,25215
2024/1/11,0,1483,132,23864,132,25347
2024/1/12,0,1483,220,24084,220,25567
2024/1/13,0,1483,142,24226,142,25709
2024/1/14,2,1485,127,24353,129,25838
2024/1/15,1,1486,137,24490,138,25976
2024/1/16,0,1486,188,24678,188,26164
2024/1/17,0,1486,163,24841,163,26327
2024/1/18,0,1486,183,25024,183,26510
2024/1/19,0,1486,142,25166,142,26652
2024/1/20,0,1486,166,25332,166,26818
2024/1/21,0,1486,178,25510,178,26996
2024/1/22,0,1486,190,25700,190,27186
2024/1/23,0,1486,197,25897,197,27383
2024/1/24,0,1486,211,26108,211,27594
2024/1/25,0,1486,200,26308,200,27794
2024/1/26,0,1486,184,26492,184,27978
2024/1/27,0,1486,174,26666,174,28152
2024/1/28,0,1486,165,26831,165,28317
2024/1/29,1,1487,216,27047,217,28534
2024/1/30,0,1487,133,27180,133,28667
2024/1/31,0,1487,137,27317,137,28804
2024/2/1,0,1487,119,27436,119,28923
2024/2/2,0,1487,112,27548,112,29035
2024/2/3,0,1487,142,27690,142,29177
2024/2/4,0,1487,92,27782,92,29269
2024/2/5,0,1487,129,27911,129,29398
2024/2/6,0,1487,108,28019,108,29506
2024/2/7,0,1487,131,28150,131,29637
2024/2/8,0,1487,128,28278,128,29765
2024/2/9,0,1487,107,28385,107,29872
2024/2/10,0,1487,118,28503,118,29990
2024/2/11,0,1487,113,28616,113,30103
2024/2/12,0,1487,166,28782,166,30269
2024/2/13,0,1487,133,28915,133,30402
2024/2/14,1,1488,104,29019,105,30507
2024/2/15,0,1488,88,29107,88,30595
2024/2/16,3,1491,112,29219,115,30710
2024/2/17,0,1491,83,29302,83,30793
2024/2/18,0,1491,127,29429,127,30920
2024/2/19,0,1491,160,29589,160,31080
2024/2/20,0,1491,53,29642,53,31133
2024/2/21,0,1491,131,29773,131,31264
2024/2/22,0,1491,142,29915,142,31406
2024/2/23,0,1491,128,30043,128,31534
2024/2/24,0,1491,72,30115,72,31606
2024/2/25,0,1491,54,30169,54,31660
2024/2/26,0,1491,127,30296,127,31787
2024/2/27,0,1491,43,30339,43,31830
2024/2/28,0,1491,77,30416,77,31907
2024/2/29,0,1491,82,30498,82,31989
2024/3/1,0,1491,199,30697,199,32188
2024/3/2,0,1491,93,30790,93,32281
2024/3/3,0,1491,113,30903,113,32394
2024/3/4,1,1492,103,31006,104,32498
2024/3/5,0,1492,99,31105,99,32597
2024/3/6,0,1492,62,31167,62,32659
2024/3/7,0,1492,109,31276,109,32768
2024/3/8,0,1492,72,31348,72,32840
2024/3/9,0,1492,89,31437,89,32929
2024/3/10,0,1492,124,31561,124,33053
2024/3/11,0,1492,82,31643,82,33135
2024/3/12,0,1492,58,31701,58,33193
2024/3/13,0,1492,197,31898,197,33390
2024/3/14,2,1494,55,31953,57,33447
2024/3/15,0,1494,76,32029,76,33523
2024/3/16,0,1494,108,32137,108,33631
2024/3/17,0,1494,41,32178,41,33672
2024/3/18,0,1494,35,32213,35,33707
2024/3/19,0,1494,96,32309,96,33803
2024/3/20,0,1494,88,32397,88,33891
2024/3/21,0,1494,148,32545,148,34039
2024/3/22,0,1494,95,32640,95,34134
2024/3/23,0,1494,54,32694,54,34188
2024/3/24,0,1494,62,32756,62,34250
2024/3/25,0,1494,86,32842,86,34336
2024/3/26,0,1494,81,32923,81,34417
2024/3/27,1,1495,95,33018,96,34513
2024/3/28,0,1495,63,33081,63,34576
2024/3/29,0,1495,55,33136,55,34631
2024/3/30,0,1495,81,33217,81,34712
2024/3/31,2,1497,80,33297,82,34794
2024/4/1,0,1497,65,33362,65,34859
